name,size,about
MUSIC R1B,1,"This course aims to help students improve their writing skills, taking a particular type of music as its central material. The goal of the course is to help students prepare for academic writing, develop analytical skills appropriate to the subject matter, and receive an introduction to college-level research papers. Depending on the topic the course may include a section of one to two hours for further listening to musical examples in a group"
MUSIC 14,1,"A course in basic vocal techniques, primarily for students in the University Choruses, covering techniques of breathing, pronunciation, and articulation."
MUSIC 20A,1,"Fundamentals of music, including notation, sight singing, ear training, and beginning linear analysis. For general students."
MUSIC 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment is limited to 15 freshmen."
MUSIC 25,1,A writing course based on traditional harmony. Beginning linear and vertical analysis. For general students. Emphasis on written exercises.
MUSIC 26AC,1,"Two perspectives are developed: 1) diverse music of groups in America, and 2) American music as a unique phenomenon. Groups considered are African, Asian, European, Hispanic/Latino, and Native American. Lectures and musical examples are organized by topics such as music of socio-economic subgroups within large groups, survival of culture, pan-ethnicity, religious and concert music, and the folk-popular music continuum."
MUSIC N26AC,1,"Two perspectives are developed: 1) diverse music of groups in America, and 2) American music as a unique phenomenon. Groups considered are African, Asian, European, Hispanic/Latino, and Native American. Lectures and musical examples are religious and concert music, and the folk-popular music continuum."
MUSIC 27,1,"Devoted to the development of listening skills, and a survey of major forms and types of Western art music."
MUSIC 28,1,"Opening ears and minds to musical sounds and the people who make them, imparting basic concepts and ways of listening in order to deepen students' experience of music from a variety of cultures, including Western, Middle Eastern, and Southeast Asian traditions (specific traditions may vary depending on instructor). While the emphasis is on listening, students will become physically involved through hands-on workshops."
MUSIC 29,1,"This course explores the basic materials and models that set the boundaries for various present-day musical experiences. Students are exposed to terminology and modes of engagement with the aim of inspiring new paradigms of listening (e.g., listening to silence, noise, space, and timbre). Composers and musicians of today continue to explore new ways of defining and organizing sounds into music."
MUSIC 39M,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
MUSIC 40,1,"A course designed for students who wish to attain a beginner's level of proficiency on the carillon. Prospective students must have a working knowledge of the keyboard, read treble and bass clefs fluently, be secure in key signatures through three sharps and flats, and be comfortable with common duple and triple meters."
MUSIC 41A,1,"Private carillon lessons to develop a personal repertory. In this course, students will begin to learn different practice techniques."
MUSIC 41B,1,Private carillon lessons stressing musical questions and de-emphasizing technical and repertory issues. Composition and arranging may be included. Personal musicianship is examined and musical horizons are extended.
MUSIC 41C,1,This course is designed for students to reach an advanced level of proficiency. Students are required to play one ten-minute concert per week plus participate in the student recital.
MUSIC 42,1,This course is a requirement for those students who are studying for examination by the Guild of Carillonneurs in North America.
MUSIC 44,1,Students will learn the fundaments of healthy singing. The classical style will be learned and applied to other styles of singing. Students will receive group instruction and individual feedback throughout the semester. Singers will perform two solos: one in English and one in a foreign language. The course is open to all undergraduates. Students involved in campus vocal ensembles are encouraged
MUSIC 45,1,"Piano instruction includes music theory (musical notation, triads, scales and primary chords) at the keyboard. Repertoire draws from simple classical pieces and melodies accompanied with chords. Mastery of the material will be demonstrated at the keyboard and through three written assignments."
MUSIC 45A,1,Continuing from 
MUSIC 45M,1,Two semesters are strongly recommended for music majors who lack the basic keyboard skills needed for musicianship and harmony classes.
MUSIC 46,1,"Fundamentals of guitar performance, including tuning, basic pitch and rhythm reading, melody and chord playing."
MUSIC 48,1,"This course is designed to introduce students to the field of music therapy with an overview of: what music therapy is, bases for uses of music in therapy, key theoretical models of music therapy, and clinical applications of music therapy with various populations. Through didactic and experiential assignments and classroom discussions, we will create a collaborative and process-oriented learning environment. Pre-requisites: Open to all interested students."
MUSIC 52A,1,"Diatonic sight singing, ear training, and keyboard harmony."
MUSIC 52B,1,"Continuation of diatonic sight singing and ear training, introduction to chromatic sight singing, ear training, keyboard harmony, and score reading."
MUSIC 53A,1,"Diatonic harmony, chorale harmonization, and analytical studies. Emphasis on written exercises."
MUSIC 53B,1,Introduction to chromatic harmony and analytical studies. Emphasis on written exercises.
