name,size,about
MEC ENG 24,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er."
MEC ENG 40,1,"This course introduces the scientific principles that deal w
ith energy conversion among different forms, such as heat, w
ork, internal, electrical, and chemical energy. The physical
 science of heat and temperature, and their relations to ene
rgy and work, are analyzed on the basis of the four fundamen
tal thermodynamic laws (zeroth, first, second, and third). T
hese principles are applied to various practical systems, in
cluding"
MEC ENG C85,1,"A review of equilibrium for particles and rigid bodies. Appl
ication to truss structures. The concepts of deformation, st
rain, and stress. Equilibrium equations for a continuum. Ele
ments of the theory of linear elasticity. The states of plan
e stress and plane strain. Solution of elementary elasticity
 problems (beam bending, torsion of circular bars). Euler bu
ckling in elastic beams."
MEC ENG W85,1,"A review of equilibrium for particles and rigid bodies. Appl
ication to truss structures. The concepts of deformation, st
rain, and stress. Equilibrium equations for a continuum. Ele
ments of the theory of linear elasticity. The states of plan
e stress and plane strain. Solution of elementary elasticity
 problems (beam bending, torsion of circular bars). Euler bu
ckling in elastic beams."
MEC ENG 98,1,"Organized group study on various topics under the sponsorshi
p and direction of a member of the Mechanical Engineering fa
culty."
MEC ENG 100,1,"Electronics and Electrical Engineering has become pervasive 
in our lives as a powerful technology with applications in a
 wide range of fields including healthcare, environmental mo
nitoring, robotics, or entertainment. This course offers a b
road survey of Electrical Engineering ideas to non-majors. I
n the laboratory students will learn in-depth how to design 
and build systems that exchange information with or are cont
rolled from the cloud. Examples include"
MEC ENG 101,1,"Fundamentals of lean manufacturing systems including manufac
turing fundamentals, unit operations and manufacturing line 
considerations for work in process (WIP), manufacturing lead
 time (MLT), economics, quality monitoring; high mix/low vol
ume (HMLV) systems fundamentals including just in time (JIT)
, kanban, buffers and line balancing; class project/case stu
dies for design and analysis of competitive manufacturing sy
stems."
MEC ENG 102B,1,"Introduction to design and realization of mechatronics syste
ms. Micro computer architectures. Basic computer IO devices.
 Embedded microprocessor systems and control, IO programming
 such as analogue to digital converters, PWM, serial and par
allel outputs. Electrical components such as power supplies,
 operational amplifiers, transformers and filters. Shielding
 and grounding. Design of electric, hydraulic and pneumatic 
actuators. Design of sensors."
MEC ENG 103,1,"This course introduces students to modern experimental techn
iques for mechanical engineering, and improves students’ tea
mwork and communication skills. Students will work in a labo
ratory setting on systems ranging in complexity from desktop
 experiments with only a few instruments up to systems such 
as an internal combustion engine with a wide variety of sens
ors. State-of-the-art software for data acquisition and anal
ysis will be introduced"
MEC ENG 104,1,"This course is an introduction to the dynamics of particles 
and rigid bodies. The material, based on a Newtonian formula
tion of the governing equations, is illustrated with numerou
s examples ranging from one-dimensional motion of a single p
article to planar motions of rigid bodies and systems of rig
id bodies."
MEC ENG 106,1,"This course introduces the fundamentals and techniques of fl
uid mechanics with the aim of describing and controlling eng
ineering flows."
MEC ENG 108,1,"This course covers elastic and plastic deformation under sta
tic and dynamic loads. Failure by yielding, fracture, fatigu
e, wear, and environmental factors are also examined. Topics
 include engineering materials, heat treatment, structure-pr
operty relationships, elastic deformation and multiaxial loa
ding, plastic deformation and yield criteria, dislocation pl
asticity and strengthening mechanisms, creep, stress concent
ration effects, fracture"
MEC ENG 109,1,"This course covers transport processes of mass, momentum, an
d energy from a macroscopic view with emphasis both on under
standing why matter behaves as it does and on developing pra
ctical problem solving skills. The course is divided into fo
ur parts: introduction, conduction, convection, and radiatio
n."
MEC ENG 110,1,"The course provides project-based learning experience in inn
ovative new product development, with a focus on mechanical 
engineering systems. Design concepts and techniques are intr
oduced, and the student's design ability is developed in a d
esign or feasibility study chosen to emphasize ingenuity and
 provide wide coverage of engineering topics. Relevant softw
are will be integrated into studio sessions, including"
MEC ENG C115,1,"This course applies methods of statistical continuum mechani
cs to subcellar biomechanical phenomena ranging from nanosca
le (molecular) to microscale (whole cell and cell population
) biological processes at the interface of mechanics, biolog
y, and chemistry."
MEC ENG C117,1,"This course covers the structure and mechanical functions of
 load bearing tissues and their replacements. Natural and sy
nthetic load-bearing biomaterials for clinical applications 
are reviewed. Biocompatibility of biomaterials and host resp
onse to structural implants are examined. Quantitative treat
ment of biomechanical issues and constitutive relationships 
of tissues are covered in order to design biomaterial replac
ements for structural"
MEC ENG 118,1,"This course introduces engineering students (juniors and sen
iors) to the field of nanotechnology and nanoscience. The co
urse has two components: (1) Formal lectures. Students recei
ve a set of formal lectures introducing them to the field of
 nanotechnology and nanoscience. The material covered includ
es nanofabrication technology (how one achieves the nanomete
r length scale, from ""bottom up"" to ""top down"" technologies)
,"
MEC ENG 119,1,"Fundamentals of microelectromechanical systems including des
ign, fabrication of microstructures; surface-micromachining,
 bulk-micromachining, LIGA, and other micro machining proces
ses; fabrication principles of integrated circuit device and
 their applications for making MEMS devices; high-aspect-rat
io microstructures; scaling issues in the micro scale (heat 
transfer, fluid mechanics and solid mechanics); device desig
n, analysis, and mask layou"
MEC ENG 120,1,"This course applies the methods of computational modeling an
d continuum mechanics to biomedical phenomena spanning vario
us length scales ranging from molecular to cellular to tissu
e and organ levels. The course is intended for upper level u
ndergraduate students who have been exposed to undergraduate
 continuum mechanics (statics and strength of materials.)"
MEC ENG 122,1,"Fundamentals of manufacturing processes (metal forming, forg
ing, metal cutting, welding, joining, and casting); selectio
n of metals, plastics, and other materials relative to the d
esign and choice of manufacturing processes; geometric dimen
sioning and tolerancing of all processes."
MEC ENG 125,1,"iACME provide opportunities for Mechanical Engineering under
graduates to tackle real-world engineering problems. Student
 teams, consisting of no more than four students, will apply
 to work on specific industry- initiated projects. Teams wil
l be selected based on prior experience in research/internsh
ips, scholastic achievements in ME courses, and most importa
ntly, proposed initial approaches toward tackling the specif
ic project. ME faculty, alumni of the Mechanical"
MEC ENG 130,1,"Synthesis, analysis, and design of planar machines. Kinemati
c structure, graphical, analytical, and numerical analysis a
nd synthesis. Linkages, cams, reciprocating engines, gear tr
ains, and flywheels."
MEC ENG 131,1,"Physical understanding of automotive vehicle dynamics includ
ing simple lateral, longitudinal and ride quality models. An
 overview of active safety systems will be introduced includ
ing the basic concepts and terminology, the state-of-the-art
 development, and basic principles of systems such as ABS, t
raction control, dynamic stability control, and roll stabili
ty control. Passive, semi-active and active suspension syste
ms will be analyzed. Concepts"
MEC ENG 132,1,"Physical understanding of dynamics and feedback. Linear feed
back control of dynamic systems. Mathematical tools for anal
ysis and design. Stability. Modeling systems with differenti
al equations. Linearization. Solution to linear, time-invari
ant differential equations."
MEC ENG 133,1,"An introduction to the theory of mechanical vibrations inclu
ding topics of harmonic motion, resonance, transient and ran
dom excitation, applications of Fourier analysis and convolu
tion methods. Multidegree of freedom discrete systems includ
ing principal mode, principal coordinates and Rayleigh's pri
nciple."
MEC ENG C134,1,"Analysis and synthesis of linear feedback control systems in
 transform and time domains. Control system design by root l
ocus, frequency response, and state space methods. Applicati
ons to electro-mechanical and mechatronics systems."
MEC ENG 135,1,"This course provides preparation for the conceptual design a
nd prototyping of mechanical systems that use microprocessor
s to control machine activities, acquire and analyze data, a
nd interact with operators. The architecture of microprocess
ors is related to problems in mechanical systems through stu
dy of systems, including electro-mechanical components, ther
mal components and a variety of instruments. Laboratory exer
cises lead through studies"
MEC ENG 136,1,"This course introduces students to the control of unmanned a
erial vehicles (UAVs). The course will cover modeling and dy
namics of aerial vehicles, and common control strategies. La
boratory exercises allow students to apply knowledge on a re
al system, by programming a microcontroller to control a UAV
."
MEC ENG 138,1,"This hands-on laboratory course focuses on the mechanical en
gineering principles that underlie the design, fabricaton, a
nd operation of micro/nanoscale mechanical systems, includin
g devices made by nanowire/nanotube syntheses; photolithogra
phy/soft lithography; and molding processes. Each laboratory
 will have different focuses for basic understanding of MEMS
/NEMS systems from prototype constructions to experimental t
estings using mechanical"
MEC ENG 140,1,"Fundamentals of combustion, flame structure, flame speed, fl
ammability, ignition, stirred reaction, kinetics and nonequi
librium processes, pollutant formation. Application to engin
es, energy production and fire safety."
MEC ENG 146,1,"This course covers the fundamental principles of energy conv
ersion processes, followed by development of theoretical and
 computational tools that can be used to analyze energy conv
ersion processes. The course also introduces the use of mode
rn computational methods to model energy conversion performa
nce characteristics of devices and systems. Performance feat
ures, sources of inefficiencies, and optimal design strategi
es are explored for a variety"
