name,size,about
COM LIT H1A,1,"Expository writing based on analysis of selected masterpieces of ancient and modern literature. Limited to 10 qualified freshmen and/or sophomores who meet for round-table discussions and attend weekly tutorial sessions. Individual assignments provide each student with the opportunity to exploit his or her linguistic and literary training. H1A satisfies the first half of the Reading and Composition requirement, and H1B satisfies the second hal"
COM LIT H1B,1,"Expository writing based on analysis of selected masterpieces of ancient and modern literature. Limited to 10 qualified freshmen and/or sophomores who meet for round-table discussions and attend weekly tutorial sessions. Individual assignments provide each student with the opportunity to exploit his or her linguistic and literary training. H1A satisfies the first half of the Reading and Composition requirement, and H1B satisfies the second"
COM LIT N1A,1,Expository writing based on analysis of selected masterpieces of ancient and modern literature. Satisfies the first half of the Reading and Composition requirement.
COM LIT N1B,1,Expository writing based on analysis of selected masterpieces of ancient and modern literature. Satisfies the second half of the Reading and Composition requirement.
COM LIT R1A,1,"Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
COM LIT R1B,1,"Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
COM LIT R2A,1,"Expository writing done in connection with the reading of selected masterpieces of ancient and modern literature and the study of selected French texts read in the original. Course will prepare students for more advanced work in French. R2A satisfies the first half of the Reading and Composition requirement, and R2B satisfies the second half."
COM LIT R2B,1,"Expository writing done in connection with the reading of selected masterpieces of ancient and modern literature and the study of selected French texts read in the original. Course will prepare students for more advanced work in French. R2A satisfies the first half of the Reading and Composition requirement, and R2B satisfies the second half."
COM LIT R3A,1,Expository writing done in connection with the reading of selected masterpieces of ancient and modern literature and the study of selected Spanish texts read in the original. Course will help prepare students for more advanced work in Spanish. Satisfies the second half of the Reading and Composition Requirement.
COM LIT R3B,1,Expository writing done in connection with the reading of selected masterpieces of ancient and modern literature and the study of selected Spanish texts read in the original. Course will help prepare students for more advanced work in Spanish. Satisfies the second half of the Reading and Composition Requirement.
COM LIT 20,1,"An introductory level exploration of a specific author, work, theme or literary movement in an international context. Emphasis on the ways in which literature has played (and continues to play) a crucial role in the relationship between different cultures, traditions, and languages. Readings and topics to vary from semester to semester."
