name,size,about
EPS 3,1,"An overview of the processes that control water supply to natural ecosystems and human civilization. Hydrologic cycle, floods, droughts, groundwater. Patterns of water use, threats to water quality, effects of global climate change on future water supplies. Water issues facing California."
EPS 7,1,"This course covers the physical processes that determine Earth's past, present, and future climate, with a particular focus on the essentially irreversible climate change (a.k.a., global warming) caused by the burning of coal, oil, and natural gas. Topics will also"
EPS 10,1,"A science-based course on the most significant eruptions Earth has produced. Most eruptions discussed will be from within historic time and will involve information from geology (volcanology), geography, archaeology, history, art, and paleoenvironmental records such as tree-rings and ice-cores. After a two-class introduction to volcanoes, volcanic activity, and volcanology, and the hazards vs benefits of eruptions, each class will feature one"
EPS C12,1,"A tour of the mysteries and inner workings of our solar system. What are planets made of? Why do they orbit the sun the way they do? How do planets form, and what are they made of? Why do some bizarre moons have oceans, volcanoes, and ice floes? What makes the Earth hospitable for life? Is the Earth a common type of planet or some cosmic quirk? This course will introduce basic physics, chemistry, and math to understand planets, moons, rings"
EPS W12,1,"A tour of the mysteries and inner workings of our solar system. What are planets made of? Why do they orbit the sun the way they do? How do planets form, and what are they made of? Why do some bizarre moons have oceans, volcanoes, and ice floes? What makes the Earth hospitable for life? Is the Earth a common type of planet or some cosmic quirk? This course will introduce basic physics, chemistry"
EPS 20,1,"Introduction to earthquakes, their causes and effects. General discussion of basic principles and methods of seismology and geological tectonics, distribution of earthquakes in space and time, effects of earthquakes, and earthquake hazard and risk, with particular emphasis on the situation in California."
EPS C20,1,"Introduction to earthquakes, their causes and effects. General discussion of basic principles and methods of seismology and geological tectonics, distribution of earthquakes in space and time, effects of earthquakes, and earthquake hazard and risk, with particular emphasis on the situation in California."
EPS 24,1,The freshman seminar in earth and planetary science is designed to provide new students with an opportunity to explore a topic in geology or earth sciences with a faculty member in a small seminar setting. Topics will vary from semester to semester but will include such possible topics as great voyages of geologic discovery and the role of atmospheric sciences in geologic study.
EPS 39,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
EPS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
EPS 50,1,"An introduction to the physical and chemical processes that have shaped the earth through time, with emphasis on the theory of plate tectonics. Laboratory work will involve the practical study of minerals, rocks, and geologic maps and exercises on geological processes."
EPS 80,1,This course focuses on the processes on and in the earth that shape the environment. Humanity's use of land and oceans is examined based on an understanding of these processes.
EPS 81,1,"An introductory survey of the atmospheres of Earth and other planets, spanning diverse phenomena such as hurricanes, drought, Martian dust storms, and the exotic winds on planets orbiting other stars. This course introduces the basics of planetary weather and climate, showing through exploration of a diverse set of atmospheres and paleoclimates that the world around us need not always be the way we currently observe it. Topics include atmospheric composition"
EPS C82,1,"This course offers multidisciplinary approach to begin answering the question ""Why are oceans important to us?"" Upon a physical, chemical, and geologic base, we introduce the alien world of sea life, the importance of the ocean to the global carbon cycle, and the principles of ecology with a focus on the important concept of energy flow through food webs. Lectures expand beyond science to include current topics as diverse as"
EPS N82,1,"The geology, physics, chemistry, and biology of the world oceans. The application of oceanographic sciences to human problems will be explored through special topics such as energy from the sea, marine pollution, food from the sea, and climate change."
EPS 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
EPS 88,1,"Earthquakes and El Ninos are examples of natural hazards in California. The course uses Python/Jupyter Notebook and real-world observations to introduce students to these and other Earth phenomena and their underlying physics. The students will learn how to access and visualize the data, extract signals, and make probability forecasts. The final module is a project that synthesizes the course material to make a probabilistic forecast. The course will be co-taught"
EPS 98,1,Group studies of selected topics which vary from semester to semester.
EPS 100A,1,"Introduction to structural, compositional, and physical properties of minerals, their analogs and related substances, their genesis in various geological and synthetic processes, and laboratory techniques to identify and investigate minerals. One field trip to selected mineral deposits and visits to laboratories."
EPS 100B,1,"Introduction to the principal geologic environments where rocks are formed and displayed. Igneous, sedimentary, and metamorphic processes discussed in the context of global tectonics."
EPS C100,1,"For undergraduates interested in improving their ability to communicate their scientific knowledge by teaching ocean science in elementary schools or science centers/aquariums. The course will combine instruction in inquiry-based teaching methods and learning pedagogy with six weeks of supervised teaching experience in a local school classroom or the Lawrence Hall of Science with a partner. Thus, students will practice communicating"
EPS 101,1,"Geological mapping, field observation, and problem-solving in the Berkeley hills and environs leading to original interpretation of geological processes and history from stratigraphic, structural, and lithological investigations. Integration of the Berkeley hills geology into the Coast Ranges and California as a whole through field trips to key localities. Training in digital field mapping, global positioning systems, and laser surveying. Interdisciplinary"
EPS 102,1,"Formation and evolution of the earth. Nucleosynthesis; formation of the solar system; planetary accretion; dating the earth and solar system; formation of the core, mantle, oceans, and atmosphere; plate tectonics; heat transfer and internal dynamics; stratigraphic record of environment, and evolution; climate history and climate change."
EPS 103,1,"Introduction to marine geochemistry: the global water cycle; processes governing the distribution of chemical species within the hydrosphere; ocean circulation; chemical mass balances, fluxes, and reactions in the marine environment from global to submicron scales; carbon system equilibrium chemistry and biogeochemistry of fresh and salt walter; applications of natural and anthropogenic stable and radioactive tracers; internal ocean proc"
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, resolution; Fourier series, integral transforms; time series analysis, spherical harmonics; partial differntial equations of geophysics; functions of a complex variable; probability and significance tests, maximum likelihood methods. Intended for students in geophysics and other physical sciences."
