name,size,about
MAT SCI 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 20 freshmen."
MAT SCI 45,1,"Application of basic principles of physics and chemistry to the engineering properties of materials. Emphasis on establishing structure, property, processing, and performance interrelationships in metals, ceramics, and polymers. While core concepts are fully covered each semester, examples and contextualization in Fall editions focuses on metals, ceramics, and functional/electronic properties and in Spring editions on polymers and soft-mat"
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced in the lecture-based course MSE45 – Properties of Materials.
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; crystal systems; point, line, and planar defects in crystals; examples of crystallographic and defect analysis in engineering materials; relationship to physical and mechanical properties."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructural changes in the solid state. Atom diffusion in solids. Phase transformations through the nucleation and growth of new matrix or precipitate phases. Martensitic transformations, spinodal decomposition. The use of phase transformations to control microstructure."
MAT SCI 104,1,"This 3-unit course will cover basic principles and techniques used for the characterization of engineering materials. The course is designed to introduce undergraduate students to the basic principles of structural, chemical and property characterization techniques. The course is grounded in modern x-ray diffraction and electron microscopy techniques for characterization of the chemical and structural properties of a material. The course"
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron microscopy (SEM), and transmission electron microscopy (TEM), as well as lab writeup protocols and academic integrity. Students will get hands-on experience using the XRD, SEM and TEM equipment to perform microstructural characterization of materials. Students will also design and run their own project on a topic of their choosing."
MAT SCI 111,1,"Introduction to the physical principles underlying the electric properties of modern solids with emphasis on semiconductors; control of defects and impurities through physical purification, bulk and thin film crystal growth and doping processes, materials basis of electronic and optoelectronic devices (diodes, transistors, semiconductor lasers) and optical fibers; properties of metal and oxide superconductors and their applications."
MAT SCI 112,1,"Electrochemical theory of corrosion. Mechanisms and rates in relation to physiochemical and metallurgical factors. Stress corrosion and mechanical influences on corrosion. Corrosion protection by design, inhibition, cathodic protection, and coatings."
MAT SCI 113,1,"This course covers elastic and plastic deformation under static and dynamic loads. Prediction and prevention of failure by yielding, fracture, fatigue, wear and environmental factors are addressed. Design issues pertaining to materials selection for load bearing applications are discussed. Case studies of engineering failures are presented. Topics include engineering materials, structure-property relationships, materials selection for design, mechanical"
MAT SCI 117,1,"Introduction to the physical principles underlying the dielectric and magnetic properties of solids. Processing-microstructure-property relationships of dielectric materials, including piezoelectric, pryoelectric, and ferroelectric oxides, and of magnetic materials, including hard- and soft ferromagnets, ferrites and magneto-optic and -resistive materials. The course also covers the properties of grain boundary devices (including varistors)"
MAT SCI C118,1,"This course is intended to give students the opportunity to expand their knowledge of topics related to biomedical materials selection and design. Structure-property relationships of biomedical materials and their interaction with biological systems will be addressed. Applications of the concepts developed include blood-materials compatibility, biomimetic materials, hard and soft tissue-materials interactions, drug delivery, tissue engineering"
MAT SCI 120,1,"Economic and technological significance of metals and other materials. Elementary geology (composition of lithosphere, mineralization). Short survey of mining and mineral processing techniques. Review of chemical thermodynamics and reaction kinetics. Principles of process engineering including material, heat, and mechanical energy balances. Elementary heat transfer, fluid flow, and mass transfer. Electrolytic production and refining of metals."
MAT SCI 121,1,"The principles of metals processing with emphasis on the use of processing to establish microstructures which impart desirable engineering properties. The techniques discussed include solidification, thermal and mechanical processing, powder processing, welding and joining, and surface treatments."
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of powder-fluid suspensions, forming methods, drying, sintering, and grain growth. Relation of processing steps to microstructure development."
MAT SCI 123,1,"This 4-unit course starts with a brief review of the fundamentals of solid-state physics including bands and defects in semiconductors and oxides, and then moves to bulk semiconductor crystals growth and processing including doping, diffusion and implantation, and then to thin film deposition and processing methods, and finishes with a discussion of materials analysis and characterization. Recent advances in nanomaterials research will also"
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technological applications. Physical and chemical vapor deposition methods. Thin-film nucleation and growth. Thermal and ion processing. Microstructural development in epitaxial, polycrystalline, and amorphous films. Thin-film characterization techniques. Applications in information storage, integrated circuits, and optoelectronic devices. Laboratory demonstrations."
MAT SCI 130,1,"This course provides a culminating experience for students approaching completion of the materials science and engineering curriculum. Laboratory experiments are undertaken in a variety of areas from the investigations on semiconductor materials to corrosion science and elucidate the relationships among structure, processing, properties, and performance. The principles of materials selection in engineering design are reviewed."
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enabling role. This course examines potentially sustainable technologies, and the materials properties that enable them. The science at the basis of selected energy technologies are examined and considered in case studies."
MAT SCI 140,1,"This course introduces the fundamental principles needed to understand the behavior of materials at the nanometer length scale and the different classes of nanomaterials with applications ranging from information technology to biotechnology. Topics include introduction to different classes of nanomaterials, synthesis and characterization of nanomaterials, and the electronic, magnetic, optical, and mechanical properties of nanomaterials."
MAT SCI C150,1,"The application of basic chemical principles to problems in materials discovery, design, and characterization will be discussed. Topics covered will include inorganic solids, nanoscale materials, polymers, and biological materials, with specific focus on the ways in which atomic-level interactions dictate the bulk properties of matter."
MAT SCI 151,1,"This course is designed for upper division undergraduate and graduate students to gain a fundamental understanding of the science of polymeric materials. Beginning with a treatment of ideal polymeric chain conformations, it develops the thermodynamics of polmyer blends and solutions, the modeling of polymer networks and gelations, the dynamics of polymer chains, and the morphologies of thin films and other dimensionally-restricted structures"
MAT SCI H194,1,"Students who have completed a satisfactory number of advanced courses with a grade-point average of 3.3 or higher may pursue original research under the direction of one of the members of the staff. A maximum of 3 units of H194 may be used to fulfill technical elective requirements in the Materials Science and Engineering program or double majors (unlike 198 or 199, which do not satisfy technical elective requirements). Final report required"
MAT SCI 195,1,"Group study of special topics in materials science and engineering. Selection of topics for further study of underlying concepts and relevent literature, in consultion with appropriate faculty members."
MAT SCI 198,1,Group studies of selected topics.
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introduction to Courses and Curricula section of this catalog.
MEC ENG 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
MEC ENG 40,1,"This course introduces the scientific principles that deal with energy conversion among different forms, such as heat, work, internal, electrical, and chemical energy. The physical science of heat and temperature, and their relations to energy and work, are analyzed on the basis of the four fundamental thermodynamic laws (zeroth, first, second, and third). These principles are applied to various practical systems, including"
MEC ENG C85,1,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
MEC ENG W85,1,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
MEC ENG 98,1,Organized group study on various topics under the sponsorship and direction of a member of the Mechanical Engineering faculty.
MEC ENG 100,1,"Electronics and Electrical Engineering has become pervasive in our lives as a powerful technology with applications in a wide range of fields including healthcare, environmental monitoring, robotics, or entertainment. This course offers a broad survey of Electrical Engineering ideas to non-majors. In the laboratory students will learn in-depth how to design and build systems that exchange information with or are controlled from the cloud. Examples include"
MEC ENG 101,1,"Fundamentals of lean manufacturing systems including manufacturing fundamentals, unit operations and manufacturing line considerations for work in process (WIP), manufacturing lead time (MLT), economics, quality monitoring; high mix/low volume (HMLV) systems fundamentals including just in time (JIT), kanban, buffers and line balancing; class project/case studies for design and analysis of competitive manufacturing systems."
MEC ENG 102B,1,"Introduction to design and realization of mechatronics systems. Micro computer architectures. Basic computer IO devices. Embedded microprocessor systems and control, IO programming such as analogue to digital converters, PWM, serial and parallel outputs. Electrical components such as power supplies, operational amplifiers, transformers and filters. Shielding and grounding. Design of electric, hydraulic and pneumatic actuators. Design of sensors."
MEC ENG 103,1,"This course introduces students to modern experimental techniques for mechanical engineering, and improves students’ teamwork and communication skills. Students will work in a laboratory setting on systems ranging in complexity from desktop experiments with only a few instruments up to systems such as an internal combustion engine with a wide variety of sensors. State-of-the-art software for data acquisition and analysis will be introduced"
MEC ENG 104,1,"This course is an introduction to the dynamics of particles and rigid bodies. The material, based on a Newtonian formulation of the governing equations, is illustrated with numerous examples ranging from one-dimensional motion of a single particle to planar motions of rigid bodies and systems of rigid bodies."
MEC ENG 106,1,This course introduces the fundamentals and techniques of fluid mechanics with the aim of describing and controlling engineering flows.
MEC ENG 108,1,"This course covers elastic and plastic deformation under static and dynamic loads. Failure by yielding, fracture, fatigue, wear, and environmental factors are also examined. Topics include engineering materials, heat treatment, structure-property relationships, elastic deformation and multiaxial loading, plastic deformation and yield criteria, dislocation plasticity and strengthening mechanisms, creep, stress concentration effects, fracture"
MEC ENG 109,1,"This course covers transport processes of mass, momentum, and energy from a macroscopic view with emphasis both on understanding why matter behaves as it does and on developing practical problem solving skills. The course is divided into four parts: introduction, conduction, convection, and radiation."
